Trajectory,N_clusters,Lag,Timescale_1,Timescale_2,Timescale_3,Timescale_4,Timescale_5,Timescale_6,Timescale_7,Timescale_8,Timescale_9,Timescale_10
tica_distances,100,1,195.45905204464702,42.929710270714864,18.91127595645092,11.433131732161081,6.634417223989614,5.260769885866649,4.676732483870203,4.200051516998244,3.948567640649337,3.343733850243911
tica_distances,100,10,1154.848509599528,290.231432871642,120.86331491414505,73.71966176866441,39.55778947696905,36.74901549675695,29.656201748098685,26.589867872239253,24.538641382645913,21.543889835918947
tica_distances,100,100,4763.207916979627,1495.8440356736587,571.4471975308462,363.681156223789,213.22210040144793,184.80856923492126,165.1966300814868,157.61797123758393,133.88095037762085,107.82604309625614
tica_distances,100,500,8100.511501350363,3643.1550933487397,1181.7285470245401,774.9490788093458,523.7765168168759,488.3712598531986,470.07507237,465.2673879327494,363.04305748771975,312.3560589814918
tica_distances,100,1000,9346.024093071268,4743.620628540479,1473.86051019614,982.2726888769387,782.6484671461803,765.4976670964749,687.1444490000899,586.1406238017564,528.8488938787326,496.3528743017257
tica_distances,200,1,222.89718611433815,51.28400229159376,21.43466085671373,12.958669119722956,7.659425984741039,6.482757003585747,5.3356185430122585,4.77112957905718,4.571518233406322,4.047930191089116
tica_distances,200,10,1278.0496848893524,347.2875363633945,134.78540990136867,82.38641092203704,44.835028796045655,44.06047023293156,32.8927622678629,30.739750060038244,29.444628525751202,24.702468871087234
tica_distances,200,100,5021.404319179926,1652.5332442833394,607.8578979385454,388.723301612609,240.42368579795388,212.4438074179161,209.94549268725558,181.32872216241984,154.26263614017907,144.12287094297753
tica_distances,200,500,8274.120167061927,3748.0416492360505,1220.85923067548,810.4978518235312,650.9948538487496,583.6258145923645,549.9103563929584,489.52260468790854,476.500821720968,374.13155350669564
tica_distances,200,1000,9474.56687891388,4819.811258752503,1514.6054404524189,1043.1988000214735,918.1056559723675,862.3546497604374,775.3756510491352,721.3474803750423,607.7524074457652,573.8578339524856
tica_distances,500,1,265.09181860003144,63.72873966336,25.564323258552328,15.483238967941723,9.260383331126208,7.453364575846689,6.300471760027917,5.86581068976046,5.548383564698479,4.802860620406455
tica_distances,500,10,1429.649087371094,406.1323805949349,155.83007335285083,94.94361605419904,55.65062970540319,50.85888749353663,41.793464867950824,38.28785817907379,34.32001045965305,30.97690133872678
tica_distances,500,100,5302.296997726561,1725.2515443168431,655.7890538474385,422.25346695083033,285.3097385210173,261.34400339985456,258.8848244858103,215.98236977811212,182.02131003029274,158.02928496870825
tica_distances,500,500,8521.734297379535,3890.922573716191,1277.3684841620423,870.702796460424,781.2141008479085,719.3624844873609,661.8143117476319,534.2521793902388,518.1907251688231,387.4140708025508
tica_distances,500,1000,9668.488197084054,4925.058695554167,1577.6236162093255,1129.2396577257578,1023.1283790351722,985.5760570210637,838.6203765127821,799.9305767748671,686.5639816512153,616.6749694229914
pca_distances,100,1,203.9443623000965,19.24712660345992,12.266074164351599,10.27179908883457,7.3297139652907415,5.864379694692952,4.613255911465085,4.411990874931863,4.062594703465306,3.6338165527826614
pca_distances,100,10,1096.0186425336178,80.01139790327578,69.62916595527784,41.794939058234874,39.87286759754604,28.37109219303543,25.017514781770114,24.70941540398383,22.870209193112974,18.915202608979055
pca_distances,100,100,4287.381575987016,334.7012880772145,218.98676641310922,201.0778336237765,166.3618112316266,129.68528115882148,128.35117860550855,117.06209354321852,103.85095342762196,92.55300012441373
pca_distances,100,500,7440.455688126637,848.6782757144558,568.9744231348513,474.6182790977099,428.03018313853784,355.41561425020876,290.0362336866945,276.5000958895015,251.3031056749126,224.33252004683285
pca_distances,100,1000,8723.16613020694,1132.3983386315979,913.5967578832941,714.8595896566031,656.5368797927953,444.1248241863823,416.8203076937759,370.28910705594757,363.6185570506218,350.0128940858381
pca_distances,200,1,233.05711932013233,20.676200267201413,14.643158114721228,11.517288131969728,8.753834519008047,6.787233373038523,5.601767857598599,4.963527329694482,4.724450951631789,4.1355530161833185
pca_distances,200,10,1212.5051808164671,83.3647970309531,79.71375519780038,47.67098629701694,44.778974616213,33.051211018782084,29.106342212531736,27.328347852108692,26.00454425132028,22.59426977849507
pca_distances,200,100,4599.782845185834,365.4226909732476,225.49861216194606,221.58747443674213,178.14133451807112,157.73805304936002,139.9524186739852,128.07376687346,118.5608147636786,100.14261343907287
pca_distances,200,500,7765.530719143635,902.152319814029,653.7982672916108,500.7072719646371,488.59418730310347,363.2658019736684,317.95071921661776,306.3031059067771,291.0201523430928,281.81814036021234
pca_distances,200,1000,8951.014058311977,1242.1417219781074,1036.034820957571,748.5029378168565,710.012544262262,519.2897324035933,468.18446254920025,444.9027979776473,416.8886899557532,395.04157611498675
pca_distances,500,1,287.46250577769155,24.214623651994977,17.545702969195467,12.752069609285499,10.470360467645122,7.986471602522494,6.83362041434623,6.613975944217667,5.798938872830165,5.53576489070913
pca_distances,500,10,1433.8426749051382,93.32115311760738,89.9515190012233,55.592870724077954,47.4620645915766,38.53126042806176,35.95803798376482,33.120677419354294,30.939090763579795,26.892458910477295
